Query	Document	Answer	Context_Relevance_Label	Answer_Faithfulness_Label	Answer_Relevance_Label
Firma de contadores con 5 empleados, CIIU 6920 en el RUT. ¿Mi empresa de contabilidad está clasificada en riesgo I?	1| 6920 | 01| Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria, incluye el registro contable de transacciones comerciales de empresas y otras entidades, auditoría de los estados financieros, el procesamiento y liquidación de nómina, certificación de los estados financieros, declaraciones tributarias y de impuestos de personas naturales y jurídicas, asesoramiento y representación de clientes ante las autoridades tributarias.	Su empresa se clasifica en riesgo I, ya que el código CIIU 6920 —que agrupa las actividades de contabilidad, teneduría de libros, auditoría financiera, liquidación de nómina, declaraciones tributarias y asesoría o representación ante autoridades tributarias— está registrado en la tabla del Decreto 768 de 2022 dentro de la clase de riesgo 1.	1	1	1
Firma de contadores con 5 empleados, CIIU 6920 en el RUT. ¿Mi empresa de contabilidad está clasificada en riesgo I?	El empleador o contratante debe aplicar una metodología que sea sistemática, que tenga alcance sobre todos los procesos y actividades rutinarias y no rutinarias internas o externas, máquinas y equipos, todos los centros de trabajo y todos los trabajadores inde­pendientemente de su forma de contratación y vinculación, que le permita identificar los peligros y evaluar los riesgos en seguridad y salud en el trabajo, con el fin que pueda prio­rizarlos y establecer los controles necesarios, realizando mediciones ambientales cuando se requiera. Los panoramas de factores de riesgo se entenderán como identificación de peligros, evaluación y valoración de los riesgos. Parágrafo 1°. La identificación de peligros y evaluación de los riesgos debe ser desa­rrollada por el empleador o contratante con la participación y compromiso de todos los ni­veles de la empresa. Debe ser documentada y actualizada como mínimo de manera anual. También se debe actualizar cada vez que ocurra un accidente de trabajo mortal o un evento catastrófico en la empresa o cuando se presenten cambios en los procesos, en las instalaciones en la maquinaria o en los equipos. Parágrafo 2°. De acuerdo con la naturaleza de los peligros, la priorización realizada y la actividad económica de la empresa, el empleador o contratante utilizará metodologías adicionales para complementar la evaluación de los riesgos en seguridad y salud en el tra­bajo ante peligros de origen físicos, ergonómicos o biomecánicos, biológicos, químicos, de seguridad, público, psicosociales, entre otros. Cuando en el proceso productivo, se involucren agentes potencialmente cancerígenos, deberán ser considerados como prioritarios, independiente de su dosis y nivel de exposi­ción. Parágrafo 3°. El empleador debe informar al Comité Paritario o Vigía de Seguridad y Salud en el Trabajo sobre los resultados de las evaluaciones de los ambientes de trabajo para que emita las recomendaciones a que haya lugar. Parágrafo 4°. Se debe identificar y relacionar en el Sistema de Gestión de la Segu­ridad y Salud en el Trabajo los trabajadores que se dediquen en forma permanente a las actividades de alto riesgo a las que hace referencia el Decreto número 2090 de 2003, o la norma que lo modifique o sustituya. 	Su empresa se clasifica en riesgo I, ya que el código CIIU 6920 —que agrupa las actividades de contabilidad, teneduría de libros, auditoría financiera, liquidación de nómina, declaraciones tributarias y asesoría o representación ante autoridades tributarias— está registrado en la tabla del Decreto 768 de 2022 dentro de la clase de riesgo 1.	0	0	1
Firma de contadores con 5 empleados, CIIU 6920 en el RUT. ¿Mi empresa de contabilidad está clasificada en riesgo I?	1| 6920 | 01| Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria, incluye el registro contable de transacciones comerciales de empresas y otras entidades, auditoría de los estados financieros, el procesamiento y liquidación de nómina, certificación de los estados financieros, declaraciones tributarias y de impuestos de personas naturales y jurídicas, asesoramiento y representación de clientes ante las autoridades tributarias.	El SG-SST es de obligatorio cumplimiento para todos los empleadores públicos y privados, sin distinción de su tamaño, y cubre también a contratantes bajo modalidad civil, comercial o administrativa, organizaciones solidarias, cooperativas y empresas de servicios temporales, así como a los trabajadores dependientes, contratistas, cooperados y en misión. El tamaño reducido de la empresa no la exime de implementarlo.	1	0	0
Empresa de desarrollo de software con 8 empleados que no sabe cómo se determina su clase de riesgo. ¿Cómo se determina si mi empresa pertenece al nivel de riesgo I?	Para determinar la clase de riesgo en la que se clasifica la empresa se deberá proceder así: 1. Identificar el Código de Clasificación Industrial Internacional Uniforme – Código CIIU de la actividad económica principal, señalado en el Registro Único Tributario — RUT; 2. Ubicar el código identificado en la columna denominada «Código CIIU Rev. 4 A.C.» de la Tabla de Clasificación de Actividades Económicas.	Para determinar la clase de riesgo de su empresa debe seguir el procedimiento del Decreto 768 de 2022: primero identificar el Código CIIU de la actividad económica principal registrado en el RUT, y luego ubicar ese código en la columna «Código CIIU Rev. 4 A.C.» de la Tabla de Clasificación de Actividades Económicas del anexo técnico; la clase de riesgo asignada en esa tabla (1 a 5) es la que corresponde a su empresa.	1	1	1
Empresa de desarrollo de software con 8 empleados que no sabe cómo se determina su clase de riesgo. ¿Cómo se determina si mi empresa pertenece al nivel de riesgo I?	Los aportantes definidos en el artículo anterior tienen las siguientes obligaciones: Investigar todos los incidentes y accidentes de trabajo dentro de los quince (15) días siguientes a su ocurrencia, a través del equipo investigador, conforme lo determina la presente resolución.	Para determinar la clase de riesgo de su empresa debe seguir el procedimiento del Decreto 768 de 2022: primero identificar el Código CIIU de la actividad económica principal registrado en el RUT, y luego ubicar ese código en la columna «Código CIIU Rev. 4 A.C.» de la Tabla de Clasificación de Actividades Económicas del anexo técnico; la clase de riesgo asignada en esa tabla (1 a 5) es la que corresponde a su empresa.	0	0	1
Empresa de desarrollo de software con 8 empleados que no sabe cómo se determina su clase de riesgo. ¿Cómo se determina si mi empresa pertenece al nivel de riesgo I?	Para determinar la clase de riesgo en la que se clasifica la empresa se deberá proceder así: 1. Identificar el Código de Clasificación Industrial Internacional Uniforme – Código CIIU de la actividad económica principal, señalado en el Registro Único Tributario — RUT; 2. Ubicar el código identificado en la columna denominada «Código CIIU Rev. 4 A.C.» de la Tabla de Clasificación de Actividades Económicas.	Debe ejecutar las actividades de prevención y control de los peligros o riesgos identificados, con base en el resultado de la identificación de peligros y de la evaluación y valoración de los riesgos.	1	0	0
Microempresa de 4 empleados que cree estar exenta del SG-SST por su tamaño. ¿Estoy obligado a implementar el SG-SST aunque mi empresa sea muy pequeña?	El presente capítulo tiene por ob­jeto definir las directrices de obligatorio cumplimiento para implementar el Sistema de Gestión de la Seguridad y Salud en el Trabajo (SG-SST), que deben ser aplicadas por todos los empleadores públicos y privados, los contratantes de personal bajo modalidad de contrato civil, comercial o administrativo, las organizaciones de economía solidaria y del sector cooperativo, las empresas de servicios temporales y tener cobertura sobre los trabajadores dependientes, contratistas, trabajadores cooperados y los trabajadores en misión. 	El SG-SST es de obligatorio cumplimiento para todos los empleadores públicos y privados, sin distinción de su tamaño, y cubre también a contratantes bajo modalidad civil, comercial o administrativa, organizaciones solidarias, cooperativas y empresas de servicios temporales, así como a los trabajadores dependientes, contratistas, cooperados y en misión. El tamaño reducido de la empresa no la exime de implementarlo.	1	1	1
Microempresa de 4 empleados que cree estar exenta del SG-SST por su tamaño. ¿Estoy obligado a implementar el SG-SST aunque mi empresa sea muy pequeña?	Descripción del accidente o incidente. El informe deberá contener un relato completo y detallado de los hechos relacionados con el accidente o incidente, de acuerdo con la inspección realizada al sitio de trabajo y las versiones de los testigos, involucrando todo aquello que se considere importante o que aporte información para determinar las causas específicas del accidente o incidente, tales como cuándo ocurrió, dónde se encontraba el trabajador, qué actividad estaba realizando y qué pasó, por qué realizaba la actividad, para qué, con quién se encontraba, cómo sucedió.   Para obtener la información, el aportante puede acudir al reconocimiento del área involucrada, entrevista a testigos, fotografías, videos, diagramas, revisión de documentos y demás técnicas que se consideren necesarias.	El SG-SST es de obligatorio cumplimiento para todos los empleadores públicos y privados, sin distinción de su tamaño, y cubre también a contratantes bajo modalidad civil, comercial o administrativa, organizaciones solidarias, cooperativas y empresas de servicios temporales, así como a los trabajadores dependientes, contratistas, cooperados y en misión. El tamaño reducido de la empresa no la exime de implementarlo.	0	0	1
Microempresa de 4 empleados que cree estar exenta del SG-SST por su tamaño. ¿Estoy obligado a implementar el SG-SST aunque mi empresa sea muy pequeña?	El presente capítulo tiene por ob­jeto definir las directrices de obligatorio cumplimiento para implementar el Sistema de Gestión de la Seguridad y Salud en el Trabajo (SG-SST), que deben ser aplicadas por todos los empleadores públicos y privados, los contratantes de personal bajo modalidad de contrato civil, comercial o administrativo, las organizaciones de economía solidaria y del sector cooperativo, las empresas de servicios temporales y tener cobertura sobre los trabajadores dependientes, contratistas, trabajadores cooperados y los trabajadores en misión. 	Debe aplicar una metodología sistemática que cubra todos los procesos y actividades rutinarias y no rutinarias, las máquinas y equipos, todos los centros de trabajo y todos los trabajadores, sin importar su forma de contratación, de manera que le permita identificar los peligros, evaluar los riesgos, priorizarlos y establecer los controles necesarios, realizando mediciones ambientales cuando se requiera. Este proceso debe desarrollarse con la participación de todos los niveles de la empresa, documentarse y actualizarse como mínimo una vez al año, o antes si ocurre un accidente mortal, un evento catastrófico o cambios en procesos, instalaciones o maquinaria.	1	0	0
Empresa que va a redactar por primera vez su política de SST. ¿Qué es la política de SST y cómo debo formalizarla?	El empleador o contratante debe establecer por escrito una política de Seguridad y Salud en el Trabajo (SST) que debe ser parte de las políticas de gestión de la empresa, con alcance sobre todos sus centros de trabajo y todos sus trabajadores, independiente de su forma de contratación o vinculación, incluyendo los contratistas y subcontratistas. Esta política debe ser comuni­cada al Comité Paritario o Vigía de Seguridad y Salud en el Trabajo según corresponda de conformidad con la normatividad vigente. 	La política de SST debe quedar por escrito y hacer parte de las políticas de gestión de la empresa. Debe tener alcance sobre todos los centros de trabajo y todos los trabajadores, sin importar su forma de contratación o vinculación —incluyendo contratistas y subcontratistas—, y debe comunicarse al Comité Paritario o al Vigía de SST, según corresponda.	1	1	1
