Query	Document	Answer	Context_Relevance_Label	Answer_Faithfulness_Label	Answer_Relevance_Label	fila_gold	Context_Prediction	Context_Mismatch	Faithfulness_Prediction	Faithfulness_Mismatch	Answer_Relevance_Prediction	Answer_Relevance_Mismatch
Firma de contadores con 5 empleados, CIIU 6920 en el RUT. ¿Mi empresa de contabilidad está clasificada en riesgo I?	El empleador o contratante debe aplicar una metodología que sea sistemática, que tenga alcance sobre todos los procesos y actividades rutinarias y no rutinarias internas o externas, máquinas y equipos, todos los centros de trabajo y todos los trabajadores inde­pendientemente de su forma de contratación y vinculación, que le permita identificar los peligros y evaluar los riesgos en seguridad y salud en el trabajo, con el fin que pueda prio­rizarlos y establecer los controles necesarios, realizando mediciones ambientales cuando se requiera. Los panoramas de factores de riesgo se entenderán como identificación de peligros, evaluación y valoración de los riesgos. Parágrafo 1°. La identificación de peligros y evaluación de los riesgos debe ser desa­rrollada por el empleador o contratante con la participación y compromiso de todos los ni­veles de la empresa. Debe ser documentada y actualizada como mínimo de manera anual. También se debe actualizar cada vez que ocurra un accidente de trabajo mortal o un evento catastrófico en la empresa o cuando se presenten cambios en los procesos, en las instalaciones en la maquinaria o en los equipos. Parágrafo 2°. De acuerdo con la naturaleza de los peligros, la priorización realizada y la actividad económica de la empresa, el empleador o contratante utilizará metodologías adicionales para complementar la evaluación de los riesgos en seguridad y salud en el tra­bajo ante peligros de origen físicos, ergonómicos o biomecánicos, biológicos, químicos, de seguridad, público, psicosociales, entre otros. Cuando en el proceso productivo, se involucren agentes potencialmente cancerígenos, deberán ser considerados como prioritarios, independiente de su dosis y nivel de exposi­ción. Parágrafo 3°. El empleador debe informar al Comité Paritario o Vigía de Seguridad y Salud en el Trabajo sobre los resultados de las evaluaciones de los ambientes de trabajo para que emita las recomendaciones a que haya lugar. Parágrafo 4°. Se debe identificar y relacionar en el Sistema de Gestión de la Segu­ridad y Salud en el Trabajo los trabajadores que se dediquen en forma permanente a las actividades de alto riesgo a las que hace referencia el Decreto número 2090 de 2003, o la norma que lo modifique o sustituya. 	Su empresa se clasifica en riesgo I, ya que el código CIIU 6920 —que agrupa las actividades de contabilidad, teneduría de libros, auditoría financiera, liquidación de nómina, declaraciones tributarias y asesoría o representación ante autoridades tributarias— está registrado en la tabla del Decreto 768 de 2022 dentro de la clase de riesgo 1.	0	1	1	3	0	False	0	True	1	False
Empresa de desarrollo de software con 8 empleados que no sabe cómo se determina su clase de riesgo. ¿Cómo se determina si mi empresa pertenece al nivel de riesgo I?	Los aportantes definidos en el artículo anterior tienen las siguientes obligaciones: Investigar todos los incidentes y accidentes de trabajo dentro de los quince (15) días siguientes a su ocurrencia, a través del equipo investigador, conforme lo determina la presente resolución.	Para determinar la clase de riesgo de su empresa debe seguir el procedimiento del Decreto 768 de 2022: primero identificar el Código CIIU de la actividad económica principal registrado en el RUT, y luego ubicar ese código en la columna «Código CIIU Rev. 4 A.C.» de la Tabla de Clasificación de Actividades Económicas del anexo técnico; la clase de riesgo asignada en esa tabla (1 a 5) es la que corresponde a su empresa.	0	1	1	6	0	False	0	True	1	False
Microempresa de 4 empleados que cree estar exenta del SG-SST por su tamaño. ¿Estoy obligado a implementar el SG-SST aunque mi empresa sea muy pequeña?	Descripción del accidente o incidente. El informe deberá contener un relato completo y detallado de los hechos relacionados con el accidente o incidente, de acuerdo con la inspección realizada al sitio de trabajo y las versiones de los testigos, involucrando todo aquello que se considere importante o que aporte información para determinar las causas específicas del accidente o incidente, tales como cuándo ocurrió, dónde se encontraba el trabajador, qué actividad estaba realizando y qué pasó, por qué realizaba la actividad, para qué, con quién se encontraba, cómo sucedió.   Para obtener la información, el aportante puede acudir al reconocimiento del área involucrada, entrevista a testigos, fotografías, videos, diagramas, revisión de documentos y demás técnicas que se consideren necesarias.	El SG-SST es de obligatorio cumplimiento para todos los empleadores públicos y privados, sin distinción de su tamaño, y cubre también a contratantes bajo modalidad civil, comercial o administrativa, organizaciones solidarias, cooperativas y empresas de servicios temporales, así como a los trabajadores dependientes, contratistas, cooperados y en misión. El tamaño reducido de la empresa no la exime de implementarlo.	0	1	1	9	0	False	0	True	1	False
Empresa que va a redactar por primera vez su política de SST. ¿Qué es la política de SST y cómo debo formalizarla?	Evaluaciones médicas ocupacionales. criterios: Realizar las evaluaciones médicas ocupacionales de acuerdo con la normatividad y los peligros/riesgos a los cuales se encuentre expuesto el trabajador. Modo de verificación: Conceptos emitidos por el médico evaluador en el cual informe recomendaciones y restricciones laborales. 	La política de SST debe quedar por escrito y hacer parte de las políticas de gestión de la empresa. Debe tener alcance sobre todos los centros de trabajo y todos los trabajadores, sin importar su forma de contratación o vinculación —incluyendo contratistas y subcontratistas—, y debe comunicarse al Comité Paritario o al Vigía de SST, según corresponda.	0	1	1	12	0	False	0	True	0	True
Empresa que va a redactar por primera vez su política de SST. ¿Qué es la política de SST y cómo debo formalizarla?	El empleador o contratante debe establecer por escrito una política de Seguridad y Salud en el Trabajo (SST) que debe ser parte de las políticas de gestión de la empresa, con alcance sobre todos sus centros de trabajo y todos sus trabajadores, independiente de su forma de contratación o vinculación, incluyendo los contratistas y subcontratistas. Esta política debe ser comuni­cada al Comité Paritario o Vigía de Seguridad y Salud en el Trabajo según corresponda de conformidad con la normatividad vigente. 	El Comité debe reunirse al menos una vez al mes, en el local de la empresa y durante el horario de trabajo.	1	0	0	13	0	True	0	False	0	False
MiPyme de riesgo I con recursos limitados que teme que la política deba ser igual de compleja que en una empresa grande. ¿Mi política de SST debe ser tan extensa como la de una empresa grande?	Plan Anual de Trabajo. Criterios: Elaborar el Plan Anual de Trabajo del Sistema de Gestión de SST, firmado por el empleador o con-tratante, en el que se identifiquen como mínimo: objetivos, metas, responsabilidades, recursos y cronograma anual. Modo de verificacion: Solicitar documento que contenga Plan Anual de Trabajo 	La política de SST no tiene que ser tan extensa como la de una empresa grande: la norma exige que sea específica para la empresa y apropiada a la naturaleza de sus peligros y al tamaño de la organización, además de concisa, redactada con claridad, fechada y firmada por el representante legal. También debe difundirse a todos los niveles y estar accesible en el lugar de trabajo, y revisarse como mínimo una vez al año.	0	1	1	15	0	False	0	True	0	True
Dueño de MiPyme que no sabe qué recursos debe destinar al SG-SST. ¿Qué recursos debo asignar para implementar el SG-SST?	El Comité de Medicina, Higiene y Seguridad Industrial se reunirá por lo menos una vez al mes en el local de la empresa y durante el horario de trabajo.	Debe definir y asignar los recursos financieros, técnicos y de personal necesarios para diseñar, implementar, revisar, evaluar y mejorar las medidas de prevención y control de peligros y riesgos en el lugar de trabajo, así como para que el responsable de SST y el Comité Paritario o Vigía puedan cumplir satisfactoriamente sus funciones.	0	1	1	18	0	False	0	True	1	False
MiPyme de 7 trabajadores que aún no ha designado un responsable de SST. ¿Necesito designar a alguien responsable del SG-SST en mi empresa?	Para determinar la clase de riesgo en la que se clasifica la empresa se deberá proceder así: 1. Identificar el Código de Clasificación Industrial Internacional Uniforme – Código CIIU de la actividad económica principal, señalado en el Registro Único Tributario — RUT; 2. Ubicar el código identificado en la columna denominada «Código CIIU Rev. 4 A.C.» de la Tabla de Clasificación de Actividades Económicas.	Debe garantizar la disponibilidad de personal responsable de la seguridad y salud en el trabajo, con un perfil acorde a la normatividad vigente y a los estándares mínimos que defina el Ministerio del Trabajo; esa persona debe planear, organizar, dirigir y evaluar el SG-SST al menos una vez al año, informar sus resultados a la alta dirección y promover la participación de todos los niveles de la empresa en su implementación.	0	1	1	21	0	False	0	True	0	True
Empresa que debe capacitar a sus trabajadores en SST pero no sabe el alcance mínimo. ¿Qué debo cubrir en la capacitación de SST de mis trabajadores?	Remisión de investigaciones. El aportante debe remitir a la Administradora de Riesgos Profesionales a la que se encuentre afiliado, dentro de los quince (15) días siguientes a la ocurrencia del evento, el informe de investigación del accidente de trabajo mortal y de los accidentes graves definidos en el artículo 3º de la presente resolución.   Recibida la investigación por la Administradora de Riesgos Profesionales, esta la evaluará, complementará y emitirá concepto sobre el evento correspondiente, determinando las acciones de prevención que debe implementar el aportante, en un plazo no superior a quince (15) días hábiles.   Cuando el accidente de trabajo sea mortal, la Administradora de Riesgos Profesionales remitirá el informe dentro de los diez (10) días hábiles siguientes a la emisión del concepto, junto con la investigación y copia del informe del accidente de trabajo, a la Dirección Territorial de Trabajo o a la Oficina Especial de Trabajo del Ministerio de la Protección Social, según sea el caso, a efecto de que se adelante la correspondiente investigación administrativa laboral y se impongan las sanciones a que hubiere lugar si fuere del caso.   Para efecto de la investigación del accidente de trabajo mortal, los formatos deben contener, como mínimo, los requisitos establecidos en la presente resolución.   La Dirección General de Riesgos Profesionales del Ministerio de la Protección Social podrá solicitar, en cualquier tiempo, los informes de que trata el presente artículo.	Debe definir los requisitos de conocimiento y práctica en SST que necesitan sus trabajadores y adoptar disposiciones para que los cumplan en el desarrollo de sus funciones, con el fin de prevenir accidentes y enfermedades laborales. Para ello debe desarrollar un programa de capacitación documentado, impartido por personal idóneo, que dé conocimiento para identificar peligros y controlar riesgos, extendido a todos los niveles de la organización, incluidos contratistas, cooperados y trabajadores en misión.	0	1	1	24	0	False	0	True	0	True
Empresa que quiere saber qué documentos debe tener listos ante una inspección. ¿Qué documentos mínimos debo mantener actualizados del SG-SST?	Para determinar la clase de riesgo en la que se clasifica la empresa se deberá proceder así: 1. Identificar el Código de Clasificación Industrial Internacional Uniforme – Código CIIU de la actividad económica principal, señalado en el Registro Único Tributario — RUT; 2. Ubicar el código identificado en la columna denominada «Código CIIU Rev. 4 A.C.» de la Tabla de Clasificación de Actividades Económicas.	Debe mantener disponible y actualizada, entre otros, la siguiente documentación: la política y objetivos de SST firmados por el empleador; las responsabilidades asignadas para el SG-SST; la identificación anual de peligros y valoración de riesgos; el informe de condiciones de salud y perfil sociodemográfico; el Plan Anual de Trabajo firmado por el empleador y el responsable del SG-SST; el programa de capacitación anual y sus soportes; los procedimientos internos de SST; los registros de entrega de EPP y de protocolos de seguridad; los soportes de conformación del Comité Paritario o del Vigía y las actas de sus reuniones; los reportes e investigaciones de incidentes, accidentes y enfermedades laborales; el plan de emergencias con la identificación de amenazas y vulnerabilidad; los programas de vigilancia epidemiológica; los registros de inspección de instalaciones y equipos; la matriz legal actualizada; y las evidencias de gestión sobre los riesgos prioritarios.	0	1	1	27	0	False	0	True	0	True
